ENTIDAD|NOMBRE ENTIDAD|MUNICIPIO|NOMBRE MUNICIPIO
32|ZACATECAS|1|APOZOL
32|ZACATECAS|2|APULCO
32|ZACATECAS|3|ATOLINGA
32|ZACATECAS|4|BENITO JUAREZ
32|ZACATECAS|5|CALERA
32|ZACATECAS|6|CAÑITAS DE FELIPE PESCADOR
32|ZACATECAS|7|CONCEPCION DEL ORO
32|ZACATECAS|8|CUAUHTEMOC
32|ZACATECAS|9|CHALCHIHUITES
32|ZACATECAS|10|FRESNILLO
32|ZACATECAS|11|TRINIDAD GARCIA DE LA CADENA
32|ZACATECAS|12|GENARO CODINA
32|ZACATECAS|13|GENERAL ENRIQUE ESTRADA
32|ZACATECAS|14|GENERAL FRANCISCO R. MURGUIA
32|ZACATECAS|15|EL PLATEADO DE JOAQUIN AMARO
32|ZACATECAS|16|GENERAL PANFILO NATERA
32|ZACATECAS|17|GUADALUPE
32|ZACATECAS|18|HUANUSCO
32|ZACATECAS|19|JALPA
32|ZACATECAS|20|JEREZ
32|ZACATECAS|21|JIMENEZ DEL TEUL
32|ZACATECAS|22|JUAN ALDAMA
32|ZACATECAS|23|JUCHIPILA
32|ZACATECAS|24|LORETO
32|ZACATECAS|25|LUIS MOYA
32|ZACATECAS|26|MAZAPIL
32|ZACATECAS|27|MELCHOR OCAMPO
32|ZACATECAS|28|MEZQUITAL DEL ORO
32|ZACATECAS|29|MIGUEL AUZA
32|ZACATECAS|30|MOMAX
32|ZACATECAS|31|MONTE ESCOBEDO
32|ZACATECAS|32|MORELOS
32|ZACATECAS|33|MOYAHUA DE ESTRADA
32|ZACATECAS|34|NOCHISTLAN DE MEJIA
32|ZACATECAS|35|NORIA DE ANGELES
32|ZACATECAS|36|OJOCALIENTE
32|ZACATECAS|37|PANUCO
32|ZACATECAS|38|PINOS
32|ZACATECAS|39|RIO GRANDE
32|ZACATECAS|40|SAIN ALTO
32|ZACATECAS|41|EL SALVADOR
32|ZACATECAS|42|SOMBRERETE
32|ZACATECAS|43|SUSTICACAN
32|ZACATECAS|44|TABASCO
32|ZACATECAS|45|TEPECHITLAN
32|ZACATECAS|46|TEPETONGO
32|ZACATECAS|47|TEUL DE GONZALEZ ORTEGA
32|ZACATECAS|48|TLALTENANGO DE SANCHEZ ROMAN
32|ZACATECAS|49|VALPARAISO
32|ZACATECAS|50|VETAGRANDE
32|ZACATECAS|51|VILLA DE COS
32|ZACATECAS|52|VILLA GARCIA
32|ZACATECAS|53|VILLA GONZALEZ ORTEGA
32|ZACATECAS|54|VILLA HIDALGO
32|ZACATECAS|55|VILLANUEVA
32|ZACATECAS|56|ZACATECAS
32|ZACATECAS|57|TRANCOSO
32|ZACATECAS|58|SANTA MARIA DE LA PAZ
